Anime Name,Condition,Views,Latest Episode
Please Take My Brother Away 4,Ongoing,"166,243","012
"
GLOOMY THE NAUGHTY GRIZZLY,Completed,"51,587","012
"
VAZZROCK THE ANIMATION,Completed,"40,519","013
"
Gundam Build Drivers Re:RISE 2nd Season,Completed,"217,083","013
"
Cardfight!! Vanguard overDress Season 2,Completed,"71,435","025
"
Cardfight!! Vanguard Gaiden: If,Ongoing,"158,692","026
"
Cooking with Valkyries II,Completed,"63,130","008
"
EDENS ZERO,Completed,"2,155,077","025
"
Wotakoi: Love is Hard for Otaku,Completed,"5,840,551","(OVA)
"
RE-MAIN,Completed,"384,503","012
"
Scarlet Nexus,Completed,"848,679","026
"
Super Dragon Ball Heroes: Universe Mission,Completed,"5,928,858","020
"
Golden Kamuy Season 4,Ongoing,"143,981","006
"
Shin Chan,Ongoing,"1,626,152","996
"
Strike the Blood Fourth,Completed,"984,676","012
"
Seitokai Yakuindomo 2 - OVA,Completed,"734,597","019
"
The Legend of Heroes - Trails of Cold Steel - Northern War,Ongoing,"208,392","011
"
The King's Avatar 2,Completed,"2,176,703","012
"
Fate/Grand Carnival - OVA,Ongoing,"146,704","002
"
Yuuna and the Haunted Hot Springs - OVA,Completed,"794,208","(Uncensored)
"
Miss Shachiku and the Little Baby Ghost,Completed,"109,202","012
"
Allied Air Force Magical Idols Luminous Witches,Completed,"71,312","012
"
Digimon Ghost Game,Ongoing,"593,743","066
"
Seiken Densetsu: Legend of Mana - The Teardrop Crystal,Completed,"141,784","012
"
D_CIDE TRAUMEREI THE ANIMATION,Completed,"242,529","013
"
Doraemon (2005),Ongoing,"1,563,573","730
"
RUMBLE GARANNDOLL,Completed,"115,452","012
"
Shikizakura,Completed,"166,280","012
"
Yu-Gi-Oh!: Sevens,Completed,"884,105","092
"
Build Divide: Code White,Completed,"65,857","024
"
New Battle Vixens,Completed,"64,382","003
"
Shoot! -Goal to the Future-,Completed,"126,509","013
"
NIJIYON ANIMATION,Ongoing,"19,019","011
"
Queen's Blade: Unlimited,Completed,"170,880","001
"
Obey Me! The Anime Season 2,Completed,"61,914","012
"
Eternal Boys,Ongoing,"69,185","024
"
Magical Suite Prism Nana,Completed,"25,542",0
Megaton-kyuu Musashi,Ongoing,"219,402","028
"
MAJOR SECOND Season 2,Completed,"744,224","025
"
UniteUp!,Ongoing,"19,713","008
"
UMAYON,Completed,"144,585","012
"
The Prince of Tennis II: U-17 WORLD CUP,Completed,"265,372","013
"
Ninja Collection,Completed,"219,029","013
"
Zenonzard The Animation,Ongoing,"329,613","009
"
Cardfight!! Vanguard overDress,Completed,"115,841","012
"
The Human Crazy University,Completed,"58,035","012
"
KAGI-NADO Season 2,Completed,"32,146","024
"
Waccha PriMagi!,Ongoing,"145,203","051
"
Gudetama,Completed,"49,682","Special
"
Overlord: Ple Ple Pleiades 4,Completed,"129,059","013
"
MUTEKING THE Dancing HERO,Completed,"38,300","012
"
Shadowverse Flame,Ongoing,"180,196","049
"
Mrs. Sazae,Completed,"103,595","2200
"
Night World,Completed,"72,447","003
"
6♥Princess,Ongoing,"92,833","007
"
Getter Robo Arc,Completed,"109,567","013
"
SUPER HXEROS,Completed,"273,225","002
"
Grandmaster of Demonic Cultivation Q,Ongoing,"168,933","012
"
Hanabichan ~The girl who popped out of the game world~,Completed,"26,917","012
"
Artiswitch - OVA,Completed,"61,477","006
"
Rebirth,Ongoing,"136,772","037
"
Yuuki Yuuna wa Yuusha de Aru Churutto!,Completed,"61,370","012
"
That's Just a Bottleneck,Completed,"142,156","012
"
TSUKIUTA. The Animation Season 2,Completed,"113,255","013
"
Little Miss Maruko,Completed,"40,967","(2016)
"
Ancient Girl’s Frame (Chinese Audio),Completed,"79,687","012
"
THUNDERBOLT FANTASY SWORD SEEKERS 3,Completed,"73,835","013
"
Soul Land 2,Ongoing,"1,883,503","172
"
Chimimo,Completed,"21,441","012
"
TSUKIPRO THE ANIMATION 2,Completed,"62,165","013
"
"Oh, Suddenly Egyptian God Season 2",Ongoing,"23,199","010
"
The Legend of Super Normal City Kashiwa R,Completed,"76,452","010
"
Martial Master,Ongoing,"414,511","051
"
Idol Land PriPara,Ongoing,"19,509","001
"
Mewkledreamy Mix!,Ongoing,"54,343","018
"
Zoids Wild Zero,Completed,"139,381","008
"
Fushigi Dagashiya: Zenitendou,Ongoing,"33,471","002
"
Bono Bono 2016,Completed,"482,636","154
"
All Saints Street 2,Completed,"95,529","012
"
Beyblade Burst Dynamite Battle,Completed,"441,954","052
"
Gal-gaku.: Hijiri Girls Square Gakuin,Ongoing,"66,410","016
"
Super Shiro,Completed,"187,591","048
"
Mazica Party,Ongoing,"35,945","005
"
The Legend of Luo Xiaohei,Completed,"205,869","028
"
